park_id,name,city,area_sqm,latitude,longitude
PARK_0001,Stuttgarter Wiese-Garten,Stuttgart,745394.2447208349,48.75070802376947,9.273042861281983
PARK_0002,Leipziger Bach-Garten,Leipzig,198194.7943193925,51.35943169683941,12.304303728088488
PARK_0003,Hannoverer Wald-Garten,Hannover,621059.2611560484,52.287516722433644,9.805235229154986
PARK_0004,Nuremberger Wiese-Stadtpark,Nuremberg,971414.3595538946,49.49371451555921,10.98081689885916
PARK_0005,Berliner Wald-Grünanlage,Berlin,222733.71884674559,52.58648852816009,13.347467822135654
PARK_0006,Cologneer Wald-Grünanlage,Cologne,548518.6100506259,50.87418090197069,6.921148448591907
PARK_0007,Hannoverer Wald-Grünanlage,Hannover,631260.2499862605,52.36228900372843,9.690245828039608
PARK_0008,Berliner Wald-Park,Berlin,398043.75112900714,52.44789877213041,13.363428929707043
PARK_0009,Nuremberger Heide-Grünanlage,Nuremberg,239690.09305044176,49.44331399684341,11.133735192278603
PARK_0010,Cologneer Wiese-Stadtpark,Cologne,94127.89208399784,50.94034688768272,6.978782913772409
PARK_0011,Municher Wald-Volkspark,Munich,111799.01333601555,48.15660897038029,11.516104824737459
PARK_0012,Frankfurter Bach-Park,Frankfurt,817977.4807106381,50.200677107450666,8.775226406614912
PARK_0013,Nuremberger Wald-Volkspark,Nuremberg,700021.375186549,49.413022753834674,10.996234422801278
PARK_0014,Hamburger See-Grünanlage,Hamburg,520418.06460570666,53.539130498747916,9.918107646968956
PARK_0015,Cologneer Wald-Park,Cologne,295840.9825200161,50.84437770422304,7.042164080415756
PARK_0016,Stuttgarter Wald-Grünanlage,Stuttgart,544064.6201189202,48.80830445687079,9.145242215217882
PARK_0017,Hannoverer Wiese-Park,Hannover,971105.3963763306,52.38524205586866,9.668970891105104
PARK_0018,Hamburger Heide-Volkspark,Hamburg,900085.9829062663,53.60612656467222,10.081599788312838
PARK_0019,Hannoverer Heide-Volkspark,Hannover,134067.87694932352,52.395479995762216,9.816374847004623
PARK_0020,Nuremberger Wald-Park,Nuremberg,359063.81422510114,49.39129657248383,10.985745457782109
PARK_0021,Hannoverer Wiese-Grünanlage,Hannover,837300.6336943329,52.3536354579379,9.686269806354778
PARK_0022,Cologneer Bach-Park,Cologne,565561.2790003361,50.90885066533872,6.916486901937477
PARK_0023,Frankfurter See-Volkspark,Frankfurt,120823.11149578229,50.03908484499495,8.742539396150809
PARK_0024,Nuremberger Heide-Grünanlage,Nuremberg,238779.89745746378,49.5494773873201,11.131148953859332
PARK_0025,Hannoverer See-Stadtpark,Hannover,721514.4766552362,52.27700442342472,9.795092285690966
PARK_0026,Nuremberger See-Grünanlage,Nuremberg,120342.41914738584,49.4979014336082,11.13095406933719
PARK_0027,Nuremberger Wiese-Park,Nuremberg,869948.2545818138,49.423793145708856,10.999873811905026
PARK_0028,Leipziger Wald-Volkspark,Leipzig,110380.43277172245,51.36435962536551,12.33927960497053
PARK_0029,Municher Wald-Volkspark,Munich,743125.8694211609,48.09729646434313,11.54703666440535
PARK_0030,Cologneer Wald-Volkspark,Cologne,498604.17890385183,50.965011494271046,7.037742548515266
PARK_0031,Berliner Wiese-Garten,Berlin,772745.7961860526,52.44391884918766,13.4476489574446
PARK_0032,Dresdener Bach-Garten,Dresden,519105.8165461712,51.062655439513904,13.791493435990912
PARK_0033,Municher Wald-Garten,Munich,74148.17040689042,48.1396465658764,11.56750820367171
PARK_0034,Frankfurter Wiese-Stadtpark,Frankfurt,654589.8907005914,50.03247828539866,8.588385837137347
PARK_0035,Frankfurter Bach-Garten,Frankfurt,912188.1502297884,50.07377119621527,8.683814138232941
PARK_0036,Nuremberger Bach-Park,Nuremberg,767773.5816158962,49.40195844582978,11.058776584607127
PARK_0037,Leipziger Heide-Stadtpark,Leipzig,325263.88026807964,51.28545963309833,12.28849598196576
PARK_0038,Hamburger See-Volkspark,Hamburg,817714.3605861961,53.483344257450796,10.079639530468516
PARK_0039,Frankfurter Wald-Garten,Frankfurt,813488.4730541587,50.13758075130209,8.756392118037544
PARK_0040,Leipziger See-Park,Leipzig,562375.1298198681,51.277014011777204,12.451611799697996
PARK_0041,Hamburger Wiese-Volkspark,Hamburg,352103.30122327065,53.61258803103281,10.072918259984698
PARK_0042,Nuremberger Wiese-Stadtpark,Nuremberg,455752.3991949435,49.374110384905535,11.02228703250839
PARK_0043,Leipziger Wiese-Stadtpark,Leipzig,56604.52400463117,51.4033029531845,12.44524611665127
PARK_0044,Hannoverer Bach-Park,Hannover,261002.41994719373,52.37804946051551,9.715482200629754
